target,controls,partial_rank_corr_Qbar
mean_D_struct,vobs,-0.21475646715035349
mean_D_struct,gas_bulge,-0.2184977621595711
mean_D_struct,vobs_gas_bulge,-0.276095819003998
peak_D_struct,vobs,-0.3008473269227338
peak_D_struct,gas_bulge,-0.28826633968635185
peak_D_struct,vobs_gas_bulge,-0.3624540104541541
mean_residual_fraction,vobs,-0.16915371955096054
mean_residual_fraction,gas_bulge,-0.107795767547217
mean_residual_fraction,vobs_gas_bulge,-0.26773530933839224
outer_residual_fraction,vobs,0.021036595142115675
outer_residual_fraction,gas_bulge,0.1145274002234672
outer_residual_fraction,vobs_gas_bulge,-0.03291838714602435
nfw_like_chi2,vobs,0.08337475678380427
nfw_like_chi2,gas_bulge,0.14778244931670234
nfw_like_chi2,vobs_gas_bulge,0.051235518770675094
rar_mean_sigma_residual,vobs,0.1616822080138485
rar_mean_sigma_residual,gas_bulge,0.09133465172918463
rar_mean_sigma_residual,vobs_gas_bulge,0.10726573866800307
